brazo,val_r2_media,val_r2_sd,val_mse_media,epoca_mejor,n_seeds,segundos,ratio_tstr_trtr
real,0.5039085745811462,0.008458225142602334,0.09537850320339199,54.666666666666664,3,453.40317249298096,1.0
diffusion_ts,0.4773053328196208,0.003251913528852802,0.10049323489268618,66.33333333333333,3,528.3090441226959,0.9472062133817859
realnvp,0.4770585497220357,0.010359972436935398,0.1005406851569811,64.66666666666667,3,452.7775192260742,0.9467164755403725
jitter,0.46526161829630536,0.006657581317251139,0.10280875861644738,92.0,3,453.0816898345947,0.9233056188476955
vae,0.33426515261332196,0.00774635170576344,0.12799412508805588,61.0,3,452.50512647628784,0.663344839668915
block_bootstrap,0.31427407264709467,0.005613395648567136,0.1318376113971074,34.666666666666664,3,457.3670074939728,0.6236728019727038
gaussiana,-0.19530522823333732,0.024341436914625904,0.22980929911136624,73.0,3,451.64595580101013,-0.3875806804749789
