brazo,val_r2_media,val_r2_sd,val_mse_media,epoca_mejor,n_seeds,segundos,ratio_tstr_trtr
real,0.5071575244267782,0.004587096840081562,0.0947538564602534,84.66666666666667,3,245.94840383529663,1.0
jitter,0.48770034313201904,0.0005582398341530285,0.09849469115336736,93.0,3,243.59912395477295,0.961634836598844
realnvp,0.43988651037216187,0.0066592590856953855,0.10768737892309825,79.66666666666667,3,251.5973641872406,0.867356766261823
vae,0.34269992510477704,0.0075605330070158605,0.12637246151765189,61.333333333333336,3,217.47309613227844,0.6757267882244641
block_bootstrap,0.31089053551356,0.0168237966779972,0.13248813152313232,42.333333333333336,3,219.13759636878967,0.6130058621627439
wgan_gp,0.16694504022598267,0.02754172696117848,0.16016307969888052,96.33333333333333,3,225.05243635177612,0.32917788297565853
gaussiana,-0.19850428899129233,0.014727707919885894,0.23042434453964233,64.66666666666667,3,228.42705535888672,-0.39140558787066115
