n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos
1000,ninguno,0.0,0,0,1000,0.4456237852573395,0.1610967218875885,0.2944350838661194,0.3089330792427063,31,28.9
1000,ninguno,0.0,1,0,1000,0.5053685307502747,0.18039332330226898,0.32129722833633423,0.22615522146224976,32,11.2
1000,ninguno,0.0,2,0,1000,0.42471757531166077,0.16609197854995728,0.30290502309799194,0.2875046133995056,39,9.7
1000,jitter,1,0,1000,2000,0.43616026639938354,0.15690743923187256,0.2909957766532898,0.3269041180610657,36,13.4
1000,jitter,1,1,1000,2000,0.4562874436378479,0.16905871033668518,0.30523186922073364,0.27477800846099854,39,12.9
1000,jitter,1,2,1000,2000,0.4040960371494293,0.1566300392150879,0.2941672205924988,0.3280940651893616,39,12.8
1000,realnvp,1,0,1000,2000,0.4309271574020386,0.15561644732952118,0.29270780086517334,0.33244216442108154,29,14.9
1000,realnvp,1,1,1000,2000,0.4568789005279541,0.17043642699718475,0.3092574179172516,0.2688679099082947,39,14.4
1000,realnvp,1,2,1000,2000,0.44176748394966125,0.16697707772254944,0.305637389421463,0.28370773792266846,29,14.3
1000,block_bootstrap,1,0,1000,2000,0.4589056670665741,0.16872616112232208,0.3040466606616974,0.27620458602905273,8,12.4
1000,block_bootstrap,1,1,1000,2000,0.5272573232650757,0.18722815811634064,0.32570818066596985,0.19683533906936646,33,11.8
1000,block_bootstrap,1,2,1000,2000,0.41190141439437866,0.15647345781326294,0.2930418848991394,0.32876574993133545,31,11.9
1000,gaussiana,1,0,1000,2000,0.43618085980415344,0.16314609348773956,0.29823586344718933,0.30014175176620483,8,11.6
1000,gaussiana,1,1,1000,2000,0.5462453365325928,0.19151215255260468,0.33321985602378845,0.17845803499221802,7,12.2
1000,gaussiana,1,2,1000,2000,0.4379633367061615,0.1695958971977234,0.3063032031059265,0.27247363328933716,26,12.7
1000,jitter,3,0,3000,4000,0.4152594804763794,0.1536126732826233,0.2881729006767273,0.3410378694534302,36,17.5
1000,jitter,3,1,3000,4000,0.3877192735671997,0.14564961194992065,0.28344470262527466,0.37519752979278564,33,18.8
1000,jitter,3,2,3000,4000,0.3851524293422699,0.14593568444252014,0.28839874267578125,0.3739703297615051,31,17.7
1000,realnvp,3,0,3000,4000,0.4031621217727661,0.14865845441818237,0.28691038489341736,0.36229032278060913,22,19.3
1000,realnvp,3,1,3000,4000,0.41439780592918396,0.15309862792491913,0.293072372674942,0.3432430028915405,30,18.7
1000,realnvp,3,2,3000,4000,0.44158315658569336,0.15964335203170776,0.3054439425468445,0.3151676654815674,18,18.5
1000,block_bootstrap,3,0,3000,4000,0.45298290252685547,0.16370424628257751,0.29959219694137573,0.2977473735809326,20,18.6
1000,block_bootstrap,3,1,3000,4000,0.5157344937324524,0.18422646820545197,0.32506707310676575,0.20971190929412842,21,17.9
1000,block_bootstrap,3,2,3000,4000,0.431927889585495,0.1614488661289215,0.300661563873291,0.3074224591255188,24,18.4
1000,gaussiana,3,0,3000,4000,0.5039910078048706,0.17900121212005615,0.31183338165283203,0.23212701082229614,16,18.5
1000,gaussiana,3,1,3000,4000,0.5430930256843567,0.19227391481399536,0.32806912064552307,0.175190269947052,23,17.5
1000,gaussiana,3,2,3000,4000,0.4445001482963562,0.17170339822769165,0.3080860674381256,0.26343291997909546,25,17.9
1000,jitter,10,0,10000,11000,0.4091870188713074,0.14854076504707336,0.2861064672470093,0.3627951741218567,10,38.4
1000,jitter,10,1,10000,11000,0.3766799867153168,0.14314115047454834,0.2800131142139435,0.3859582543373108,11,36.9
1000,jitter,10,2,10000,11000,0.383472204208374,0.1457976996898651,0.28719231486320496,0.37456226348876953,12,36.6
1000,realnvp,10,0,10000,11000,0.40829381346702576,0.14774224162101746,0.28987178206443787,0.3662206530570984,26,40.6
