,sd_x,sd_x_real,curtosis_x,curtosis_x_real,asimetria_x,asimetria_x_real,sd_y,sd_y_real,acf_abs_lag1,acf_abs_lag1_real,acf_abs_lag21,acf_abs_lag21_real,err_acf_abs,leverage_lag1,leverage_lag1_real,err_corr_xy,ks_x,w1_x,ks_y,w1_y,ks_x_col_media,w1_x_col_media,err_corr_xx_pearson,err_corr_xx_spearman,discriminative_auc
jitter,1.0001250505447388,1.0027503967285156,23.565174102783203,25.235191345214844,-0.5540959239006042,-0.5384999513626099,1.0033758878707886,0.988320529460907,0.0577230341732502,0.06184350326657295,-0.017909644171595573,-0.015649870038032532,0.002200628165155649,-0.021365860477089882,-0.024990711361169815,0.014387834876115748,0.009970009326934814,0.012529364949958868,0.019874989986419678,0.030460950506686218,0.014058339347441991,0.025665693536797884,0.024772701568362983,0.01620912463660525,0.49831376953125
gaussiana,1.0010950565338135,1.0027503967285156,0.031203508377075195,25.235191345214844,-0.00930330716073513,-0.5384999513626099,0.9924777746200562,0.988320529460907,-0.015087300911545753,0.06184350326657295,-0.010230489075183868,-0.015649870038032532,0.025540994480252266,0.0016584910918027163,-0.024990711361169815,0.01320589242871479,0.09280002117156982,0.2386085295371334,0.03712499141693115,0.09574012580173304,0.09980625609556834,0.23585651283326517,0.020127779804898924,0.039664091986106105,0.9591348632812501
block_bootstrap,0.989635169506073,1.0027503967285156,26.161148071289062,25.235191345214844,-0.5129889845848083,-0.5384999513626099,1.0136055946350098,0.988320529460907,0.1245047077536583,0.06184350326657295,-0.027446066960692406,-0.015649870038032532,0.02485424466431141,-0.017908599227666855,-0.024990711361169815,0.04191274019490723,0.005919992923736572,0.010312064142864185,0.007250010967254639,0.013935208741020914,0.028089588694274425,0.05678244970618369,0.05383489180294489,0.032256394646629744,0.7558868164062502
vae,0.9100853800773621,1.0027503967285156,1.4336752891540527,25.235191345214844,-0.16506747901439667,-0.5384999513626099,0.9826693534851074,0.988320529460907,-0.006011506076902151,0.06184350326657295,-0.012751671485602856,-0.015649870038032532,0.021886250004172325,-0.004246232565492392,-0.024990711361169815,0.0265752882925675,0.06860999763011932,0.15634748320024922,0.042750000953674316,0.08984054301765969,0.07620000218351682,0.15784686416288773,0.04870040598631205,0.02683874309746812,0.8948725585937499
wgan_gp,0.9309188723564148,1.0027503967285156,4.426238059997559,25.235191345214844,-0.16997002065181732,-0.5384999513626099,0.9663709998130798,0.988320529460907,-0.01294583361595869,0.06184350326657295,-0.010615463368594646,-0.015649870038032532,0.024034885689616203,0.0003524710482452065,-0.024990711361169815,0.023408268632937785,0.03209999203681946,0.08004043153802567,0.04762500524520874,0.09459442368330677,0.04794167292614778,0.094840488837658,0.03952840561669693,0.03289483356436948,0.8333205078125
realnvp,0.9226040840148926,1.0027503967285156,23.24365234375,25.235191345214844,-0.13875415921211243,-0.5384999513626099,0.9809016585350037,0.988320529460907,0.042369917035102844,0.06184350326657295,-0.020303377881646156,-0.015649870038032532,0.008534976281225681,-0.013915169052779675,-0.024990711361169815,0.0245543625472453,0.012779980897903442,0.027693136712840963,0.020375005900859833,0.050533244614388705,0.02851667199283838,0.05668996805110668,0.04174650074540609,0.02397273306226849,0.6546638671875
