n_real,generador,ratio,delta_medio,delta_sd,n_seeds,ee,t,veredicto
250,block_bootstrap,1.0,-0.10772379239400227,0.10422086197375754,3,0.06017194271572375,-1.7902661528302721,no concluyente
250,block_bootstrap,3.0,-0.16999691724777222,0.12715923996479037,3,0.07341542142361994,-2.3155477956989445,no concluyente
250,block_bootstrap,5.0,-0.13178658485412595,0.08684454871755833,3,0.05013972357973387,-2.628386744983835,empeora
250,block_bootstrap,10.0,-0.13738089799880981,0.081610319437135,3,0.04711773989568124,-2.915693713301431,empeora
250,block_bootstrap,20.0,-0.10633558034896852,0.08408723708648563,3,0.048547788967294364,-2.1903279760197645,no concluyente
250,block_bootstrap,30.0,-0.09129575888315834,0.06196060933585374,3,0.0357729744792084,-2.5520874406521696,empeora
250,gaussiana,1.0,-0.09631609916687012,0.08677855630499375,3,0.05010162284257524,-1.922414758290481,no concluyente
250,gaussiana,3.0,-0.14005609353383383,0.1326356995277948,3,0.07657725682652665,-1.8289515626174517,no concluyente
250,gaussiana,5.0,-0.12738144397735593,0.12704226500787683,3,0.07334788590075747,-1.7366750576793442,no concluyente
250,gaussiana,10.0,-0.13983126481374106,0.1307011158587626,3,0.07546032442444105,-1.8530435149898552,no concluyente
250,gaussiana,20.0,-0.15294901529947916,0.1556970090669301,3,0.0898917100968117,-1.7014807609595581,no concluyente
250,gaussiana,30.0,-0.14974009990692136,0.15193507135520956,3,0.08771975434627524,-1.7070282631643008,no concluyente
250,jitter,1.0,0.00032373269399008087,0.04764259114007594,3,0.027506462819614125,0.011769332033460722,no concluyente
250,jitter,3.0,0.010996719201405825,0.01709821459175176,3,0.009871658797209866,1.1139687287929712,no concluyente
250,jitter,5.0,-0.0014857053756713683,0.010858171139593866,3,0.006268968030351544,-0.23699361178398842,no concluyente
250,jitter,10.0,0.018698175748189317,0.024578548175744005,3,0.014190431405555988,1.3176608387584614,no concluyente
250,jitter,20.0,0.03268506129582723,0.035399784424270817,3,0.02043807506660748,1.5992240555584099,no concluyente
250,jitter,30.0,0.0032806793848673688,0.021614710547592047,3,0.012479258953108112,0.26289056082535056,no concluyente
250,realnvp,1.0,-0.08165210485458373,0.13878844636642484,3,0.08012954687006532,-1.0190012054727742,no concluyente
250,realnvp,3.0,-0.07969586054484047,0.15379475838751383,3,0.08879344515498457,-0.8975421598490214,no concluyente
250,realnvp,5.0,-0.08644040425618486,0.19018837934406616,3,0.10980531201103526,-0.7872151417182599,no concluyente
250,realnvp,10.0,-0.07958509524663289,0.15356119650371391,3,0.08865859813850026,-0.8976579476511352,no concluyente
250,realnvp,20.0,-0.12327114741007483,0.16826247750786907,3,0.09714638668368157,-1.2689215895538979,no concluyente
250,realnvp,30.0,-0.10393077135086054,0.18243281055609362,3,0.10532763228358065,-0.9867379442370902,no concluyente
250,vae,1.0,-0.05975741147994995,0.04842490692798961,3,0.027958133050357378,-2.1373891944900842,no concluyente
250,vae,3.0,-0.1024022301038106,0.04868168808168327,3,0.028106385718565236,-3.6433795198423677,empeora
250,vae,5.0,-0.12179613113403322,0.07514216435994694,3,0.04338334882070648,-2.8074395924894815,empeora
250,vae,10.0,-0.0860673983891805,0.05344054305534834,3,0.03085391191864515,-2.789513323824899,empeora
250,vae,20.0,-0.07332791884740196,0.06360017304012507,3,0.03671957702522299,-1.9969706839768986,no concluyente
250,vae,30.0,-0.08891201019287114,0.08217262765966399,3,0.04744238869932589,-1.8741048381093528,no concluyente
250,wgan_gp,1.0,-0.14818513393402097,0.13008241272210558,3,0.07510311600194366,-1.9730890250969872,no concluyente
250,wgan_gp,3.0,-0.16335433721542356,0.14194744342027718,3,0.08195339466947621,-1.9932589476524196,no concluyente
250,wgan_gp,5.0,-0.08151777585347496,0.13651125901287947,3,0.0788148121385007,-1.034295123488011,no concluyente
250,wgan_gp,10.0,-0.06918303171793623,0.03406580609457246,3,0.019667902318863003,-3.517560266281396,empeora
250,wgan_gp,20.0,-0.1035759250322978,0.08268572983994832,3,0.047738628381234834,-2.169646019260402,no concluyente
250,wgan_gp,30.0,-0.12781834602355957,0.1217946750478113,3,0.07031818842471685,-1.8177138644634283,no concluyente
500,block_bootstrap,1.0,-0.13023920853932702,0.04842981362526376,3,0.02796096593334944,-4.6578937526614155,empeora
500,block_bootstrap,3.0,-0.11744179328282676,0.028069480644466665,3,0.01620592220609582,-7.246844196169923,empeora
