n_real,generador,n_synth,delta_medio,delta_sd,n_seeds,ee,t,veredicto
250,block_bootstrap,500,-0.04305305083592736,0.0314573555756403,3,0.018161912709589702,-2.370513035953248,no concluyente
250,block_bootstrap,1000,0.013011713822682661,0.09336361396918412,3,0.05390350765762476,0.24138900023590817,no concluyente
250,block_bootstrap,3000,0.09021474917729694,0.15127783493017746,3,0.08734029871936173,1.0329109300069064,no concluyente
250,block_bootstrap,7000,0.1185177167256673,0.12553692846657588,3,0.07247877944341638,1.6352057476104873,no concluyente
250,block_bootstrap,20000,0.12154497702916461,0.1339859500167477,3,0.07735682430979704,1.5712250097341607,no concluyente
250,diffusion_ts,500,-0.12824143966039023,0.22015275396636494,3,0.12710525176531826,-1.0089389531847968,no concluyente
250,diffusion_ts,1000,0.05998692909876504,0.02696168370507478,3,0.015566335344930472,3.853632070074935,mejora
250,diffusion_ts,3000,0.13005071878433228,0.01073135198409332,3,0.006195748956784904,20.990314438404578,mejora
250,diffusion_ts,7000,0.13862584034601846,0.005551614444492624,3,0.0032052260939648314,43.24994127778978,mejora
250,diffusion_ts,20000,0.15970788399378458,0.037645090213378925,3,0.02173440296836207,7.348160620112968,mejora
250,gaussiana,500,-0.15204991896947223,0.16261724044740838,3,0.09388710754718534,-1.6194973190867097,no concluyente
250,gaussiana,1000,-0.0252537329991659,0.05361783804767218,3,0.030956273230189294,-0.8157872496918608,no concluyente
250,gaussiana,3000,0.015198687712351477,0.10140054723839997,3,0.05854363324406559,0.2596129906900188,no concluyente
250,gaussiana,7000,-0.025184671084086133,0.11555284944144888,3,0.0667144687306488,-0.37749938751316514,no concluyente
250,gaussiana,20000,-0.08964331944783534,0.1564683831098455,3,0.0903370631081348,-0.9923204979614065,no concluyente
250,jitter,500,-0.019058724244435665,0.08949927175187941,3,0.05167242863822305,-0.3688374002676076,no concluyente
250,jitter,1000,0.045057614644368506,0.0747578137482604,3,0.043161443891586056,1.0439320509653314,no concluyente
250,jitter,3000,0.11542795101801555,0.100946328539182,3,0.058281389955801136,1.980528451801727,no concluyente
250,jitter,7000,0.13264723618825275,0.11159061204475895,3,0.06442686990307668,2.0588806562821738,no concluyente
250,jitter,20000,0.11238094170888265,0.10134078813353092,3,0.058509131308782915,1.9207419285682152,no concluyente
250,realnvp,500,-0.03630691766738889,0.06775404680814455,3,0.03911781716336876,-0.9281427313737717,no concluyente
250,realnvp,1000,0.004868566989898643,0.024321023546078676,3,0.014041749491295752,0.346720826554881,no concluyente
250,realnvp,3000,0.06292420625686644,0.06802410867708614,3,0.03927373745610004,1.6021955212997683,no concluyente
250,realnvp,7000,0.1109022696812947,0.05952544677920568,3,0.03436703272160715,3.226995783420328,mejora
250,realnvp,20000,0.13668308655420935,0.1346553634924739,3,0.07774331036020671,1.7581330910777793,no concluyente
250,vae,500,-0.07023044427235924,0.06396498163253446,3,0.03693019936425324,-1.901707694010965,no concluyente
250,vae,1000,-0.05440231164296468,0.18294045784332139,3,0.10562072258151499,-0.5150723296839649,no concluyente
250,vae,3000,-0.03731779257456463,0.18620963755733796,3,0.10750818436943173,-0.347115829305879,no concluyente
250,vae,7000,-0.10546918710072835,0.22134353149754157,3,0.12779274749348804,-0.8253143403627249,no concluyente
250,vae,20000,-0.0924111803372701,0.25744881873306175,3,0.14863814479808438,-0.6217191452625092,no concluyente
1000,block_bootstrap,500,0.09339628616968791,0.11679924690824846,3,0.06743407664362282,1.385001334907732,no concluyente
1000,block_bootstrap,1000,0.06108071406682334,0.14922129357864466,3,0.08615295401645467,0.7089799155947375,no concluyente
1000,block_bootstrap,3000,0.09665634234746297,0.16766860199175657,3,0.09680351249458888,0.9984797024061071,no concluyente
1000,block_bootstrap,7000,0.11262587706247963,0.1511823942933724,3,0.08728519604201071,1.2903204915558917,no concluyente
1000,block_bootstrap,20000,0.10486410061518349,0.15582283582651554,3,0.08996435621032961,1.1656183074329953,no concluyente
1000,diffusion_ts,500,0.10276218255360921,0.14251514190856418,3,0.08228115554450725,1.2489151601428765,no concluyente
1000,diffusion_ts,1000,0.10513170560201006,0.1618167012763197,3,0.09342491604126044,1.125306931563946,no concluyente
1000,diffusion_ts,3000,0.13889439900716144,0.14931736925325925,3,0.08620842333305598,1.6111464940097497,no concluyente
1000,diffusion_ts,7000,0.16426690419514975,0.13648429836891027,3,0.07879924640344754,2.0846253193096898,no concluyente
1000,diffusion_ts,20000,0.1762839357058207,0.12140552660680619,3,0.07009351346754783,2.5149821571925814,mejora
1000,gaussiana,500,0.06390215953191121,0.06321627528314953,3,0.03649793355189187,1.7508432207828064,no concluyente
1000,gaussiana,1000,0.03435589869817098,0.06276026902201003,3,0.03623465821427082,0.9481502073238848,no concluyente
1000,gaussiana,3000,0.0025575160980224657,0.0888652046679513,3,0.05130634983663287,0.049847944867759675,no concluyente
1000,gaussiana,7000,-0.059084018071492515,0.15407525993489452,3,0.08895539279887292,-0.6641982707566788,no concluyente
1000,gaussiana,20000,-0.1266838709513346,0.18629190397363699,3,0.10755568090702723,-1.177844534877168,no concluyente
1000,jitter,500,0.11490819851557414,0.12222635657612385,3,0.0705674198712923,1.6283463207972584,no concluyente
1000,jitter,1000,0.11737676461537679,0.11333466232960124,3,0.06543379780451061,1.7938247290192522,no concluyente
1000,jitter,3000,0.164796769618988,0.1381966612455474,3,0.07978787957122431,2.065436135219996,no concluyente
1000,jitter,7000,0.165309468905131,0.1557703418843222,3,0.08993404881867346,1.838118833484643,no concluyente
1000,jitter,20000,0.16283998886744183,0.17248146913311932,3,0.09958222263422857,1.6352315158254982,no concluyente
1000,realnvp,500,0.10592641433080037,0.1373902320821732,3,0.07932228747666786,1.3353928347308182,no concluyente
1000,realnvp,1000,0.10434887806574504,0.12454892502628793,3,0.07190835539120587,1.451137041002422,no concluyente
1000,realnvp,3000,0.14682358503341672,0.16234882141813511,3,0.0937321357483788,1.566416724223167,no concluyente
1000,realnvp,7000,0.14134007692337036,0.19868770804562408,3,0.11471240172481084,1.2321255138780718,no concluyente
1000,realnvp,20000,0.15184412399927774,0.1868854268425456,3,0.10789835149516183,1.407288636899021,no concluyente
1000,vae,500,0.09149364630381267,0.10913089716987125,3,0.06300675285793053,1.4521244494239405,no concluyente
1000,vae,1000,0.0640545884768168,0.10959898572342316,3,0.06327700391032832,1.0122885806602098,no concluyente
1000,vae,3000,0.06545621156692508,0.14940196683090676,3,0.08625726576728356,0.7588486718732963,no concluyente
1000,vae,7000,0.06559169292449954,0.13464183828643078,3,0.07773550157885688,0.843780403963325,no concluyente
