step,loss,temporal,spectral,lr
0,0.8971545100212097,0.8404892086982727,0.5666530728340149,1.0000000000000002e-06
1,0.9221863150596619,0.863838791847229,0.5834754109382629,2.0000000000000003e-06
2,0.9165610074996948,0.8580026626586914,0.5855835676193237,3e-06
3,0.8900935649871826,0.8331146836280823,0.5697886347770691,4.000000000000001e-06
4,0.9157823324203491,0.8565678000450134,0.5921456217765808,5e-06
5,0.9361323714256287,0.875037670135498,0.6109470725059509,6e-06
6,0.9082230925559998,0.8495243787765503,0.5869871377944946,7.000000000000001e-06
7,0.8800060153007507,0.8231655359268188,0.568405032157898,8.000000000000001e-06
8,0.8566104769706726,0.8028697967529297,0.5374066829681396,9e-06
9,0.9000442028045654,0.8413969278335571,0.5864726305007935,1e-05
10,0.8797590732574463,0.8232206106185913,0.5653849244117737,1.1000000000000001e-05
11,0.9007246494293213,0.8407553434371948,0.5996927618980408,1.2e-05
12,0.8916377425193787,0.8331813812255859,0.5845634341239929,1.3000000000000001e-05
13,0.8799391984939575,0.8228678107261658,0.5707138180732727,1.4000000000000001e-05
14,0.864579439163208,0.8072839379310608,0.5729551911354065,1.5e-05
15,0.8530425429344177,0.7966840267181396,0.5635849237442017,1.6000000000000003e-05
16,0.8311572074890137,0.7757667303085327,0.5539048910140991,1.7000000000000003e-05
17,0.8322247862815857,0.7765015959739685,0.5572316646575928,1.8e-05
18,0.8112701773643494,0.7569453120231628,0.5432485342025757,1.9e-05
19,0.796951174736023,0.7438901662826538,0.5306099653244019,2e-05
20,0.7750414609909058,0.7228904962539673,0.52150958776474,2.1e-05
21,0.8048993945121765,0.7502074241638184,0.5469198226928711,2.2000000000000003e-05
22,0.8104729056358337,0.7543434500694275,0.5612947344779968,2.3000000000000003e-05
23,0.7894158363342285,0.7340359091758728,0.5537995100021362,2.4e-05
24,0.7975570559501648,0.7423854470252991,0.5517159700393677,2.5e-05
25,0.7607914805412292,0.7078916430473328,0.5289983153343201,2.6000000000000002e-05
26,0.7671633958816528,0.7134643793106079,0.5369901657104492,2.7000000000000002e-05
27,0.7488769292831421,0.6967324018478394,0.5214455723762512,2.8000000000000003e-05
28,0.7740366458892822,0.7198705077171326,0.5416611433029175,2.9e-05
29,0.738983154296875,0.6864497661590576,0.5253336429595947,3e-05
30,0.7132535576820374,0.663250207901001,0.500033438205719,3.1e-05
31,0.6961709260940552,0.6478243470191956,0.48346561193466187,3.2000000000000005e-05
32,0.7413938641548157,0.6878849267959595,0.5350894927978516,3.3e-05
33,0.74062180519104,0.6886519193649292,0.5196987390518188,3.4000000000000007e-05
34,0.736732006072998,0.6848840713500977,0.518479585647583,3.5e-05
35,0.7293704748153687,0.6782978773117065,0.5107260942459106,3.6e-05
36,0.7017593383789062,0.6525132060050964,0.49246111512184143,3.7e-05
37,0.710980236530304,0.661344051361084,0.49636194109916687,3.8e-05
38,0.7141205072402954,0.6640046834945679,0.5011583566665649,3.9000000000000006e-05
