step,loss,temporal,spectral,lr
0,0.9716218709945679,0.9156550765037537,0.559668242931366,1.0000000000000002e-06
1,0.9893839359283447,0.9319659471511841,0.574180006980896,2.0000000000000003e-06
2,0.9694415330886841,0.9122698903083801,0.5717162489891052,3e-06
3,0.960023820400238,0.9043545126914978,0.5566932559013367,4.000000000000001e-06
4,0.9575772285461426,0.9019155502319336,0.556616485118866,5e-06
5,0.9520391821861267,0.8956047296524048,0.5643446445465088,6e-06
6,0.9445904493331909,0.8890689611434937,0.5552150011062622,7.000000000000001e-06
7,0.9507989883422852,0.8937551379203796,0.5704384446144104,8.000000000000001e-06
8,0.9307270646095276,0.8752733469009399,0.5545371174812317,9e-06
9,0.9141035079956055,0.8580745458602905,0.5602896213531494,1e-05
10,0.9066762924194336,0.8514381051063538,0.5523819327354431,1.1000000000000001e-05
11,0.8963296413421631,0.8411872982978821,0.5514236092567444,1.2e-05
12,0.8893951773643494,0.8334898948669434,0.5590530633926392,1.3000000000000001e-05
13,0.837655782699585,0.7858113646507263,0.5184442400932312,1.4000000000000001e-05
14,0.8484983444213867,0.795474112033844,0.5302425026893616,1.5e-05
15,0.8349735140800476,0.7815249562263489,0.5344856977462769,1.6000000000000003e-05
16,0.8349525332450867,0.7814235091209412,0.535290002822876,1.7000000000000003e-05
17,0.8145232200622559,0.7596868872642517,0.5483636260032654,1.8e-05
18,0.7848061323165894,0.732218325138092,0.5258780717849731,1.9e-05
19,0.7801183462142944,0.7278861403465271,0.5223221778869629,2e-05
20,0.7791388034820557,0.7248177528381348,0.5432102084159851,2.1e-05
21,0.7464146018028259,0.69330894947052,0.5310565233230591,2.2000000000000003e-05
22,0.7060403227806091,0.6559543609619141,0.5008598566055298,2.3000000000000003e-05
23,0.7037689685821533,0.6534734964370728,0.5029547214508057,2.4e-05
24,0.7052109837532043,0.6539216041564941,0.5128939151763916,2.5e-05
25,0.6676216721534729,0.6193863153457642,0.4823532998561859,2.6000000000000002e-05
26,0.6686392426490784,0.6202474236488342,0.48391804099082947,2.7000000000000002e-05
27,0.6505367159843445,0.6024594902992249,0.4807725250720978,2.8000000000000003e-05
28,0.6389638185501099,0.5918574333190918,0.4710635542869568,2.9e-05
29,0.6500688195228577,0.6018438339233398,0.4822496473789215,3e-05
30,0.6584233641624451,0.6093553304672241,0.49068039655685425,3.1e-05
31,0.6415773034095764,0.594187319278717,0.4738996922969818,3.2000000000000005e-05
32,0.6930290460586548,0.6421228051185608,0.5090625286102295,3.3e-05
33,0.6404898762702942,0.5931224226951599,0.4736746549606323,3.4000000000000007e-05
34,0.6657297611236572,0.6166404485702515,0.4908929169178009,3.5e-05
35,0.6532816886901855,0.605147123336792,0.48134592175483704,3.6e-05
36,0.6553927063941956,0.6062601208686829,0.49132558703422546,3.7e-05
37,0.6255211234092712,0.579725980758667,0.45795151591300964,3.8e-05
38,0.6188293099403381,0.5733169913291931,0.4551229476928711,3.9000000000000006e-05
39,0.6073575615882874,0.5613453984260559,0.4601215124130249,4e-05
40,0.6291120648384094,0.5822951793670654,0.4681687653064728,4.1e-05
41,0.6304256319999695,0.5833393931388855,0.4708622097969055,4.2e-05
42,0.6029834151268005,0.5583459138870239,0.4463751018047333,4.3e-05
43,0.6338148713111877,0.5869159698486328,0.4689890146255493,4.4000000000000006e-05
44,0.5997247099876404,0.5543914437294006,0.4533327519893646,4.5e-05
45,0.6097038388252258,0.5644153356552124,0.4528852105140686,4.600000000000001e-05
46,0.6229784488677979,0.5758134126663208,0.4716503620147705,4.7e-05
47,0.5746748447418213,0.5318195819854736,0.42855241894721985,4.8e-05
48,0.5837838649749756,0.5405031442642212,0.43280738592147827,4.9e-05
49,0.5983912944793701,0.5536351203918457,0.4475618004798889,5e-05
50,0.5809524059295654,0.5377306938171387,0.432217001914978,5.1000000000000006e-05
51,0.5980961918830872,0.5513441562652588,0.46752026677131653,5.2000000000000004e-05
52,0.5796123147010803,0.5361617207527161,0.4345060884952545,5.300000000000001e-05
53,0.5777471661567688,0.5342249274253845,0.43522241711616516,5.4000000000000005e-05
54,0.5749022960662842,0.5314123630523682,0.43489956855773926,5.500000000000001e-05
55,0.5645948052406311,0.5216994285583496,0.42895379662513733,5.6000000000000006e-05
56,0.5734031796455383,0.5303211212158203,0.4308208227157593,5.6999999999999996e-05
57,0.5826062560081482,0.5396049618721008,0.43001309037208557,5.8e-05
58,0.5776769518852234,0.5341982245445251,0.4347870945930481,5.9e-05
59,0.5478180646896362,0.5073408484458923,0.4047720730304718,6e-05
60,0.5573574900627136,0.5145677328109741,0.42789754271507263,6.1e-05
61,0.5381079912185669,0.49803251028060913,0.4007547199726105,6.2e-05
62,0.553016185760498,0.5115218758583069,0.4149433672428131,6.3e-05
