brazo,seed,n_real,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,downstream_seconds
solo_real_path81,42,3000,0,3000,0.4585818648338318,0.1644805073738098,0.3049472272396087,0.2944174408912658,49,14.463189599991892
diffusion_ts_path81,42,3000,15000,18000,0.3907908201217651,0.1537976861000061,0.2908251285552978,0.3402442336082458,38,37.15220199999749
solo_real_path81,43,3000,0,3000,0.4905077517032623,0.1874805986881256,0.3201123178005218,0.1957524418830871,65,13.066594799995071
diffusion_ts_path81,43,3000,15000,18000,0.432784229516983,0.1707411259412765,0.3079171180725097,0.2675608396530151,65,37.407825400005095
solo_real_path81,44,3000,0,3000,0.4054987132549286,0.1412836760282516,0.2843386232852936,0.3939263820648193,82,13.508685299995705
diffusion_ts_path81,44,3000,15000,18000,0.3655465841293335,0.12896180152893066,0.27172356843948364,0.4467843174934387,73,37.45165019998967
