step,loss,temporal,spectral,lr
0,0.9269316792488098,0.8645954728126526,0.6233622431755066,1.0000000000000002e-06
1,0.8862038254737854,0.8266476392745972,0.5955621004104614,2.0000000000000003e-06
2,0.920484185218811,0.8580222129821777,0.6246196627616882,3e-06
3,0.9487839341163635,0.8839696049690247,0.6481431126594543,4.000000000000001e-06
4,0.9675982594490051,0.9008424878120422,0.6675578355789185,5e-06
5,0.9051639437675476,0.8439998626708984,0.6116408109664917,6e-06
6,0.9281256198883057,0.8645779490470886,0.63547682762146,7.000000000000001e-06
7,0.945411205291748,0.8804066777229309,0.6500455737113953,8.000000000000001e-06
8,0.9599076509475708,0.8939279317855835,0.6597974896430969,9e-06
9,0.9423339366912842,0.8772628307342529,0.6507109999656677,1e-05
10,0.9092719554901123,0.846960186958313,0.6231175065040588,1.1000000000000001e-05
11,0.8288935422897339,0.7715731859207153,0.5732037425041199,1.2e-05
12,0.8773322701454163,0.817377507686615,0.5995477437973022,1.3000000000000001e-05
13,0.9542196989059448,0.8872925043106079,0.669272243976593,1.4000000000000001e-05
14,0.8572911620140076,0.7981622219085693,0.5912896394729614,1.5e-05
15,0.8698866367340088,0.8086909651756287,0.611956775188446,1.6000000000000003e-05
16,0.860445499420166,0.8004874587059021,0.5995805859565735,1.7000000000000003e-05
17,0.9008339047431946,0.8380718231201172,0.6276209354400635,1.8e-05
18,0.8743355870246887,0.8114013075828552,0.6293429136276245,1.9e-05
19,0.8820163011550903,0.8199979066848755,0.6201842427253723,2e-05
20,0.8853934407234192,0.8239824175834656,0.614109992980957,2.1e-05
21,0.9016247987747192,0.8383421301841736,0.6328267455101013,2.2000000000000003e-05
22,0.8483176231384277,0.7885205149650574,0.5979713797569275,2.3000000000000003e-05
23,0.8654307723045349,0.8055613040924072,0.5986944437026978,2.4e-05
24,0.8722643852233887,0.8107202053070068,0.6154416799545288,2.5e-05
25,0.8444677591323853,0.7840152978897095,0.6045243144035339,2.6000000000000002e-05
26,0.847743809223175,0.7882771492004395,0.5946664810180664,2.7000000000000002e-05
27,0.8032824397087097,0.7469101548194885,0.5637227296829224,2.8000000000000003e-05
28,0.7930977940559387,0.7366451621055603,0.5645262002944946,2.9e-05
29,0.7819888591766357,0.7267307639122009,0.5525807738304138,3e-05
30,0.771003007888794,0.7166834473609924,0.5431953072547913,3.1e-05
31,0.8648221492767334,0.8033232688903809,0.6149886250495911,3.2000000000000005e-05
32,0.7747728824615479,0.7200632691383362,0.5470963716506958,3.3e-05
33,0.8340579271316528,0.7744060754776001,0.5965188145637512,3.4000000000000007e-05
34,0.8081920742988586,0.7510992288589478,0.5709282755851746,3.5e-05
35,0.7978169322013855,0.7415130138397217,0.5630391836166382,3.6e-05
36,0.7898185849189758,0.7343559265136719,0.5546267032623291,3.7e-05
37,0.8157979846000671,0.757127046585083,0.586709201335907,3.8e-05
38,0.7782052755355835,0.7226971983909607,0.5550810098648071,3.9000000000000006e-05
39,0.7814040184020996,0.7268138527870178,0.5459017157554626,4e-05
40,0.8185544610023499,0.7599148154258728,0.5863966941833496,4.1e-05
41,0.8131354451179504,0.7554908990859985,0.5764456391334534,4.2e-05
42,0.7870414853096008,0.7300716638565063,0.5696982741355896,4.3e-05
43,0.782280683517456,0.726365327835083,0.5591534972190857,4.4000000000000006e-05
44,0.8058910965919495,0.7474045753479004,0.5848652124404907,4.5e-05
45,0.7496115565299988,0.696346640586853,0.5326490998268127,4.600000000000001e-05
46,0.780805230140686,0.7248800992965698,0.5592513084411621,4.7e-05
47,0.788472592830658,0.7311450839042664,0.5732751488685608,4.8e-05
