step,loss,temporal,spectral,lr
0,0.894359827041626,0.8344672322273254,0.5989260673522949,1.0000000000000002e-06
1,0.9230057597160339,0.8610337972640991,0.6197194457054138,2.0000000000000003e-06
2,0.9510821104049683,0.8878539800643921,0.6322810053825378,3e-06
3,0.8847593069076538,0.8258652091026306,0.5889412760734558,4.000000000000001e-06
4,0.9027044177055359,0.8426975011825562,0.6000690460205078,5e-06
5,0.9238668084144592,0.861553966999054,0.6231286525726318,6e-06
6,0.9764300584793091,0.9104856252670288,0.6594445109367371,7.000000000000001e-06
7,0.9837732315063477,0.9166941046714783,0.67079097032547,8.000000000000001e-06
8,0.9429855942726135,0.8785642385482788,0.6442137360572815,9e-06
9,0.9292191863059998,0.8676608204841614,0.6155838370323181,1e-05
10,0.9319174885749817,0.8700463771820068,0.6187111735343933,1.1000000000000001e-05
11,0.9046305418014526,0.8437641859054565,0.6086634993553162,1.2e-05
12,0.8976412415504456,0.837316632270813,0.6032463312149048,1.3000000000000001e-05
13,0.8965266942977905,0.8363814949989319,0.601452112197876,1.4000000000000001e-05
14,0.9457504153251648,0.8813394904136658,0.6441094279289246,1.5e-05
15,0.9405300617218018,0.8762495517730713,0.6428053975105286,1.6000000000000003e-05
16,0.8856095671653748,0.826272189617157,0.5933735370635986,1.7000000000000003e-05
17,0.8636549115180969,0.8057925701141357,0.5786235928535461,1.8e-05
18,0.9014270901679993,0.8398958444595337,0.6153126955032349,1.9e-05
19,0.9362759590148926,0.872684121131897,0.6359183192253113,2e-05
20,0.8806447982788086,0.8207101225852966,0.5993466377258301,2.1e-05
21,0.8794928193092346,0.8194342255592346,0.6005858182907104,2.2000000000000003e-05
22,0.8883642554283142,0.8276856541633606,0.6067858338356018,2.3000000000000003e-05
23,0.8835321664810181,0.8234346508979797,0.6009749174118042,2.4e-05
24,0.8769630193710327,0.8170372843742371,0.5992574691772461,2.5e-05
25,0.8970855474472046,0.8353270888328552,0.6175843477249146,2.6000000000000002e-05
26,0.8241695165634155,0.7678143382072449,0.5635519623756409,2.7000000000000002e-05
27,0.8663389682769775,0.8074039220809937,0.5893507599830627,2.8000000000000003e-05
28,0.8448885679244995,0.7873719930648804,0.5751660466194153,2.9e-05
29,0.8377894759178162,0.7807064652442932,0.5708299279212952,3e-05
30,0.8339294195175171,0.7764618396759033,0.5746755003929138,3.1e-05
31,0.8488739132881165,0.7900152206420898,0.5885869860649109,3.2000000000000005e-05
32,0.8462767004966736,0.7877801060676575,0.5849658250808716,3.3e-05
33,0.8506235480308533,0.7910380959510803,0.5958546996116638,3.4000000000000007e-05
34,0.8125655651092529,0.7560039162635803,0.5656164884567261,3.5e-05
35,0.8492161631584167,0.7901286482810974,0.5908753275871277,3.6e-05
36,0.8106356859207153,0.7539401054382324,0.5669556856155396,3.7e-05
37,0.7834328413009644,0.7284790873527527,0.5495376586914062,3.8e-05
38,0.7821487784385681,0.7275927066802979,0.5455606579780579,3.9000000000000006e-05
39,0.8060889840126038,0.750447690486908,0.5564130544662476,4e-05
40,0.7965638637542725,0.7407599687576294,0.5580390691757202,4.1e-05
41,0.7493690252304077,0.6972076892852783,0.5216134786605835,4.2e-05
42,0.7618361115455627,0.7086637616157532,0.5317233204841614,4.3e-05
43,0.8261792063713074,0.7689121961593628,0.5726701021194458,4.4000000000000006e-05
44,0.7391231060028076,0.6876330971717834,0.5148998498916626,4.5e-05
45,0.774482250213623,0.7188522815704346,0.5562999248504639,4.600000000000001e-05
46,0.8080255389213562,0.7506521344184875,0.5737342238426208,4.7e-05
47,0.755053699016571,0.7009293437004089,0.5412434935569763,4.8e-05
48,0.7747370600700378,0.7204892039299011,0.5424787402153015,4.9e-05
49,0.7370198369026184,0.6848596334457397,0.5216020345687866,5e-05
50,0.7046937942504883,0.6551594734191895,0.4953429102897644,5.1000000000000006e-05
51,0.7804417014122009,0.7246572971343994,0.5578439235687256,5.2000000000000004e-05
52,0.7445628643035889,0.6913180351257324,0.5324485301971436,5.300000000000001e-05
53,0.7130633592605591,0.6619677543640137,0.5109559893608093,5.4000000000000005e-05
54,0.7508664131164551,0.6979218125343323,0.5294461846351624,5.500000000000001e-05
55,0.7119989395141602,0.6614346504211426,0.5056426525115967,5.6000000000000006e-05
56,0.7500368356704712,0.6963217854499817,0.5371507406234741,5.6999999999999996e-05
57,0.7707332968711853,0.7155201435089111,0.5521312952041626,5.8e-05
58,0.7377407550811768,0.6846463680267334,0.530943751335144,5.9e-05
59,0.7258971333503723,0.6729029417037964,0.5299420356750488,6e-05
60,0.6894044280052185,0.6399365663528442,0.4946787655353546,6.1e-05
61,0.7252712845802307,0.6733036637306213,0.5196760892868042,6.2e-05
62,0.6925085186958313,0.6426401138305664,0.49868422746658325,6.3e-05
63,0.6652849912643433,0.6171115040779114,0.48173457384109497,6.400000000000001e-05
64,0.6604567766189575,0.6134511828422546,0.4700562059879303,6.500000000000001e-05
65,0.6943179368972778,0.6447890996932983,0.4952881336212158,6.6e-05
66,0.7035386562347412,0.6523491740226746,0.5118945837020874,6.7e-05
67,0.6419634819030762,0.5949673056602478,0.4699615240097046,6.800000000000001e-05
68,0.6918702125549316,0.6429383158683777,0.4893191456794739,6.9e-05
