step,loss,temporal,spectral,lr
0,2.0915234088897705,1.9495831727981567,1.4194014072418213,1.0000000000000002e-06
1,2.0601935386657715,1.9200992584228516,1.4009428024291992,2.0000000000000003e-06
2,2.106062412261963,1.9623467922210693,1.437157392501831,3e-06
3,2.13259220123291,1.9868354797363281,1.4575674533843994,4.000000000000001e-06
4,2.1664187908172607,2.0178964138031006,1.4852248430252075,5e-06
5,2.095950126647949,1.9528628587722778,1.4308733940124512,6e-06
6,2.13950777053833,1.9934492111206055,1.460586667060852,7.000000000000001e-06
7,2.143247127532959,1.996067762374878,1.4717929363250732,8.000000000000001e-06
8,2.115588903427124,1.971508264541626,1.4408060312271118,9e-06
9,2.085954427719116,1.9442936182022095,1.416607141494751,1e-05
10,2.085200786590576,1.9423340559005737,1.4286667108535767,1.1000000000000001e-05
11,2.1594395637512207,2.01222562789917,1.472139596939087,1.2e-05
12,2.0223822593688965,1.881880760192871,1.4050142765045166,1.3000000000000001e-05
13,2.085036039352417,1.942169427871704,1.428665041923523,1.4000000000000001e-05
14,2.1677305698394775,2.0187525749206543,1.489778995513916,1.5e-05
15,2.0131332874298096,1.8749645948410034,1.3816859722137451,1.6000000000000003e-05
16,2.1266140937805176,1.9805192947387695,1.4609475135803223,1.7000000000000003e-05
17,2.038888454437256,1.9004881381988525,1.3840022087097168,1.8e-05
18,2.1324405670166016,1.9875595569610596,1.4488089084625244,1.9e-05
19,2.035541296005249,1.8965401649475098,1.3900102376937866,2e-05
20,1.9603919982910156,1.8258106708526611,1.345813512802124,2.1e-05
21,2.006101369857788,1.8675508499145508,1.385504961013794,2.2000000000000003e-05
22,2.119004726409912,1.9735041856765747,1.4550055265426636,2.3000000000000003e-05
23,2.017390489578247,1.878660798072815,1.3872963190078735,2.4e-05
24,2.038581609725952,1.8997458219528198,1.388358473777771,2.5e-05
25,2.1063172817230225,1.9619662761688232,1.4435104131698608,2.6000000000000002e-05
26,2.0569472312927246,1.9147868156433105,1.421604037284851,2.7000000000000002e-05
27,1.9861958026885986,1.84982168674469,1.3637406826019287,2.8000000000000003e-05
28,2.0440168380737305,1.902927279472351,1.410895824432373,2.9e-05
29,2.0413198471069336,1.900578260421753,1.407416582107544,3e-05
30,2.0290985107421875,1.8907827138900757,1.3831570148468018,3.1e-05
31,1.9571173191070557,1.8224714994430542,1.3464579582214355,3.2000000000000005e-05
32,1.983851432800293,1.8481889963150024,1.356624960899353,3.3e-05
33,2.04488205909729,1.904249906539917,1.4063225984573364,3.4000000000000007e-05
34,1.9726977348327637,1.8375052213668823,1.351925253868103,3.5e-05
35,2.040990114212036,1.8992401361465454,1.4174996614456177,3.6e-05
